window_start	window_end	window_mid	n_snps	median_chisq	median_OR	median_prop_1111_obs	median_prop_0000_obs	median_prop_1111_exp	median_prop_0000_exp	mean_n_samples	population	subset
95031	105030	100030.5	164	419.99748335874006	0	0	0.9968115736328798	0.9952578358699891	1.9896474830251232e-12	401.390243902439	POOLED	LI
100031	110030	105030.5	134	417.99472024162424	1.3066177101864224e-6	0	0.9976824997851681	0.996005996001	1.0000000000000036e-12	405.25373134328356	POOLED	LI
105031	115030	110030.5	88	420.9974773667371	4.1034825051382276e-7	0	0.9937705314624767	0.9927163971436928	1.1154406842200108e-11	416.03409090909093	POOLED	LI
110031	120030	115030.5	99	422.9779241078029	1.8422777631919357e-7	0	0.9908256880733946	0.9907085414740423	2.952370323535843e-11	418.4141414141414	POOLED	LI
115031	125030	120030.5	99	422.98586027367173	2.2058360933244277e-6	0	0.992822966507177	0.9907515071766454	2.8979502087912516e-11	421.1313131313131	POOLED	LI
120031	130030	125030.5	67	423.997459390728	2.8844584019434624e-12	0	0.9938271604938271	0.9906651746995985	3.008073889216207e-11	420.1641791044776	POOLED	LI
125031	135030	130030.5	88	421.997471374734	4.080437841456766e-12	0	0.9976498204915769	0.996005996001	1.0000000000000036e-12	417.53409090909093	POOLED	LI
130031	140030	135030.5	118	417.99749534274605	6.461923866123592e-11	0	0.9976744060270742	0.996005996001	1.0000000000000036e-12	409.8220338983051	POOLED	LI
135031	145030	140030.5	96	410.997537286767	1.2134876571356433e-7	0.004689853861294686	0.9859633569739953	0.9671200422505093	4.831695945073669e-9	407.3645833333333	POOLED	LI
140031	150030	145030.5	138	409.8593168650938	2.230169379274538e-10	0.0071006016604483885	0.9838523429933697	0.9590070068339458	1.1865597772196685e-8	419.90579710144925	POOLED	LI
145031	155030	150030.5	214	411.9600377982414	1.5260107668566857e-10	0.006952500644496004	0.9836065573770492	0.9569290671446509	1.4356827397472598e-8	417.27570093457945	POOLED	LI
150031	160030	155030.5	199	414.61923727457076	1.0911193775548513e-10	0.004878048780487805	0.9837587006960556	0.9573215681228451	1.3831777572796565e-8	415.26633165829145	POOLED	LI
155031	165030	160030.5	131	419.7647757489546	4.6842194232508873e-11	0.004545454545454545	0.9862068965517241	0.9740656307184702	1.8379496663555562e-9	416.793893129771	POOLED	LI
160031	170030	165030.5	95	421.90403657569067	1.248901824241872e-11	0	0.9883449883449883	0.9833913643967969	3.047805454184464e-10	415.6736842105263	POOLED	LI
165031	175030	170030.5	87	422.99746538273104	4.08608456728144e-12	0	0.9952941176470588	0.9929763221609241	9.607417352674524e-12	411.81609195402297	POOLED	LI
170031	180030	175030.5	81	422.98830182190596	0	0	0.9976076555023924	0.9951308672270054	2.211793566405659e-12	411.8024691358025	POOLED	LI
175031	185030	180030.5	94	418.15826360693114	0	0	0.9883990094745909	0.9814603016810856	4.746460766924109e-10	407.3404255319149	POOLED	LI
180031	190030	185030.5	112	417.932864039228	0	0	0.98841249892584	0.9808340064039314	5.426324182458314e-10	408.69642857142856	POOLED	LI
185031	195030	190030.5	101	421.99645111046294	0	0	0.9887387387387387	0.9813089261977226	4.904155841046172e-10	419.16831683168317	POOLED	LI
190031	200030	195030.5	80	424.9902169000099	7.933657871659455e-12	0.0011389521640091116	0.9881234484315053	0.9784884930287991	8.642483296633371e-10	423.775	POOLED	LI
195031	205030	200030.5	113	424.99745339872504	6.8868758663893086e-12	0.0022727272727272726	0.9879518072289156	0.9757733838378434	1.3959401630430626e-9	414.8407079646018	POOLED	LI
200031	210030	205030.5	114	420.9974773667371	7.0649982690865384e-12	0	0.9883990094745909	0.9796725687210461	6.883979221338076e-10	409.49122807017545	POOLED	LI
205031	215030	210030.5	91	413.99751931075804	1.8460491570546205e-11	0	0.9947229551451188	0.9879483147456363	8.391504762858001e-11	412.0989010989011	POOLED	LI
210031	220030	215030.5	103	418.997489350743	2.3809188344209036e-11	0	0.9884259259259259	0.9803445795149299	6.006127153017623e-10	418.3883495145631	POOLED	LI
215031	225030	220030.5	109	417.99749534274605	6.809671444912869e-11	0	0.9946949602122016	0.9922305320898483	1.440131452638683e-11	414.54128440366975	POOLED	LI
220031	230030	225030.5	84	419.3661977642273	1.0571552504495134e-11	0	0.9953161335614936	0.9947400864695157	3.0145421005186917e-12	411.8095238095238	POOLED	LI
225031	235030	230030.5	51	425.00494521650256	8.316674196359907e-12	0	0.9976635514018691	0.9954102198488838	1.7455126056467214e-12	422.5686274509804	POOLED	LI
230031	240030	235030.5	89	424.94388311174436	2.7282613852120965e-11	0	1	0.996005996001	1.0000000000000036e-12	417.75280898876406	POOLED	LI
235031	245030	240030.5	105	421.997471374734	2.4827523630502807e-11	0	0.9976958525345622	0.996005996001	1.0000000000000036e-12	414.8952380952381	POOLED	LI
240031	250030	245030.5	100	423.997459390728	2.159424670982199e-11	0	0.9976744186046511	0.996005996001	1.0000000000000036e-12	416.72	POOLED	LI
245031	255030	250030.5	99	423.997459390728	2.2813237846667396e-11	0	0.9977324263038548	0.996005996001	1.0000000000000036e-12	418.4343434343434	POOLED	LI
250031	260030	255030.5	98	423.44104284209425	2.365302492629854e-11	0	1	0.996005996001	1.0000000000000036e-12	417.4183673469388	POOLED	LI
255031	265030	260030.5	104	420.9974773667371	2.547458133869388e-10	0	1	0.996005996001	1.0000000000000036e-12	415.0192307692308	POOLED	LI
260031	270030	265030.5	87	422.99746538273104	3.837135269065649e-8	0	1	0.996005996001	1.0000000000000036e-12	416.0344827586207	POOLED	LI
265031	275030	270030.5	80	424.42647834572324	2.1673402737536946e-12	0	1	0.996005996001	1.0000000000000036e-12	419.9875	POOLED	LI
270031	280030	275030.5	82	424.9264753497217	4.334680547507389e-12	0	1	0.996005996001	1.0000000000000036e-12	421.5121951219512	POOLED	LI
275031	285030	280030.5	87	421.997471374734	0	0	1	0.996005996001	1.0000000000000036e-12	407.3333333333333	POOLED	LI
280031	290030	285030.5	86	420.9974773667371	2.566411881815366e-12	0	1	0.996005996001	1.0000000000000036e-12	393.22093023255815	POOLED	LI
285031	295030	290030.5	91	421.997471374734	3.455140861160846e-12	0	0.9976744186046511	0.996005996001	1.0000000000000036e-12	399.9120879120879	POOLED	LI
290031	300030	295030.5	99	419.99748335874006	2.7843128779154885e-12	0	0.9976905311778291	0.996005996001	1.0000000000000036e-12	404.6363636363636	POOLED	LI
295031	305030	300030.5	142	418.997489350743	0	0	1	0.996005996001	1.0000000000000036e-12	410.40140845070425	POOLED	LI
300031	310030	305030.5	134	418.997489350743	0	0	1	0.996005996001	1.0000000000000036e-12	415.64179104477614	POOLED	LI
305031	315030	310030.5	90	418.997489350743	4.857564551328479e-10	0	1	0.996005996001	1.0000000000000036e-12	394.75555555555553	POOLED	LI
310031	320030	315030.5	131	420.98824682785187	4.713933926928541e-12	0	1	0.996005996001	1.0000000000000036e-12	401.55725190839695	POOLED	LI
315031	325030	320030.5	121	420.9974773667371	0	0	0.9976744186046511	0.990794077345649	2.8447782219645667e-11	407.78512396694214	POOLED	LI
320031	330030	325030.5	92	416.99695498032804	6.706654343154838e-13	0	0.9976851727814899	0.996005996001	1.0000000000000036e-12	391.54347826086956	POOLED	LI
325031	335030	330030.5	108	418.88327375003	0	0	1	0.996005996001	1.0000000000000036e-12	397.462962962963	POOLED	LI
330031	340030	335030.5	99	422.99645948704085	2.323125645997308e-10	0	1	0.996005996001	1.0000000000000036e-12	405.979797979798	POOLED	LI
335031	345030	340030.5	84	422.02097890290634	2.513272304645234e-10	0	1	0.996005996001	1.0000000000000036e-12	410.95238095238096	POOLED	LI
340031	350030	345030.5	67	415.99750732675204	0	0	1	0.996005996001	1.0000000000000036e-12	390.23880597014926	POOLED	LI
345031	355030	350030.5	34	379.5901719000831	0	0	0.9973017804627174	0.9944902000509692	4.031675223322171e-12	344.70588235294116	POOLED	LI
350031	360030	355030.5	8	253.46462706129373	0	0	0.9727575982209045	0.9730349600318522	2.166438922450472e-9	266.375	POOLED	LI
355031	365030	360030.5	7	299.9751812042747	2.877484286594849e-6	0	0.9923076923076923	0.9871315348575291	1.0921772199295927e-10	242.85714285714286	POOLED	LI
360031	370030	365030.5	13	271.99837017518405	0	0	0.9975609756097561	0.996005996001	1.0000000000000036e-12	224.6153846153846	POOLED	LI
365031	375030	370030.5	54	366.997800934899	0	0	1	0.996005996001	1.0000000000000036e-12	266	POOLED	LI
370031	380030	375030.5	89	412.99752530276106	1.1059301388867221e-11	0	1	0.996005996001	1.0000000000000036e-12	332.55056179775283	POOLED	LI
375031	385030	380030.5	75	420.9974773667371	NA	0	1	0.996005996001	1.0000000000000036e-12	406.74666666666667	POOLED	LI
380031	390030	385030.5	67	421.766088369253	2.184997917426148e-11	0	1	0.996005996001	1.0000000000000036e-12	419.1044776119403	POOLED	LI
385031	395030	390030.5	81	420.94144769145265	2.0856555527104088e-10	0.0023094688221709007	0.9952380952380953	0.9861193544187715	1.4807822976534108e-10	421.34567901234567	POOLED	LI
390031	400030	395030.5	81	415.7445511397171	4.0226099593015e-10	0.002331002331002331	0.9927184466019418	0.9830358284902334	3.3190727205874923e-10	416.5432098765432	POOLED	LI
395031	405030	400030.5	80	419.91181215822206	1.971510307579063e-11	0	1	0.996005996001	1.0000000000000036e-12	414.35	POOLED	LI
400031	410030	405030.5	99	419.99748335874006	1.5580791588821565e-10	0	1	0.996005996001	1.0000000000000036e-12	414.3030303030303	POOLED	LI
405031	415030	410030.5	87	422.98830182190596	0	0	1	0.996005996001	1.0000000000000036e-12	409.32183908045977	POOLED	LI
410031	420030	415030.5	67	422.98830182190596	0	0	1	0.996005996001	1.0000000000000036e-12	401.74626865671644	POOLED	LI
415031	425030	420030.5	78	417.4974983387475	2.1342097567827004e-11	0	1	0.996005996001	1.0000000000000036e-12	403.0897435897436	POOLED	LI
420031	430030	425030.5	91	421.99645111046294	0	0	1	0.996005996001	1.0000000000000036e-12	407.1978021978022	POOLED	LI
425031	435030	430030.5	96	422.4969654308874	0	0	1	0.996005996001	1.0000000000000036e-12	410.5208333333333	POOLED	LI
430031	440030	435030.5	96	422.99746538273104	0	0	1	0.996005996001	1.0000000000000036e-12	417.3645833333333	POOLED	LI
435031	445030	440030.5	93	421.997471374734	0	0	1	0.996005996001	1.0000000000000036e-12	409.9247311827957	POOLED	LI
440031	450030	445030.5	80	420.44694069010177	0	0	1	0.996005996001	1.0000000000000036e-12	405.6625	POOLED	LI
445031	455030	450030.5	75	420.9974773667371	2.2733552222213715e-12	0	1	0.996005996001	1.0000000000000036e-12	414.53333333333336	POOLED	LI
450031	460030	455030.5	96	424.4929078472312	0	0	1	0.996005996001	1.0000000000000036e-12	416.9895833333333	POOLED	LI
455031	465030	460030.5	93	423.997459390728	3.7821543225126626e-10	0	1	0.996005996001	1.0000000000000036e-12	410.02150537634407	POOLED	LI
460031	470030	465030.5	97	416.997501334749	2.832825700090438e-10	0	1	0.996005996001	1.0000000000000036e-12	408.0515463917526	POOLED	LI
465031	475030	470030.5	85	417.99749534274605	2.6646545371549204e-10	0	0.9976415094339622	0.9953676974189613	1.8112188804945323e-12	415.1058823529412	POOLED	LI
470031	480030	475030.5	61	424.99745339872504	0.02211707487112277	0	0.9976580796252927	0.99532437971679	1.8800461807601292e-12	420.91803278688525	POOLED	LI
475031	485030	480030.5	77	422.896872699085	5.785197830044228e-9	0.0024330900243309003	0.9951456310679612	0.9816096858477998	4.5939365799779156e-10	420.93506493506493	POOLED	LI
480031	490030	485030.5	54	417.44658954641386	5.785197830044228e-9	0.004745018574805809	0.9939141303820203	0.980367956325756	5.97876883518452e-10	416.8333333333333	POOLED	LI
485031	495030	490030.5	40	422.947169040908	NA	0	1	0.996005996001	1.0000000000000036e-12	420.025	POOLED	LI
490031	500030	495030.5	54	422.947169040908	2.4660767685725217e-9	0	1	0.996005996001	1.0000000000000036e-12	419.35185185185185	POOLED	LI
495031	505030	500030.5	65	422.7904676922816	9.236596954345822e-11	0	1	0.996005996001	1.0000000000000036e-12	411.2307692307692	POOLED	LI
500031	510030	505030.5	74	419.4073947227891	9.236596954345822e-11	0	1	0.996005996001	1.0000000000000036e-12	413.36486486486484	POOLED	LI
505031	515030	510030.5	83	418.8168821795497	0	0	0.9976744186046511	0.996005996001	1.0000000000000036e-12	406.8313253012048	POOLED	LI
510031	520030	515030.5	77	421.7161625124309	0	0	0.9976744186046511	0.996005996001	1.0000000000000036e-12	406.54545454545456	POOLED	LI
515031	525030	520030.5	59	425.997447406722	0	0	1	0.996005996001	1.0000000000000036e-12	418.2881355932203	POOLED	LI
520031	530030	525030.5	71	419.99748335874006	0	0	1	0.996005996001	1.0000000000000036e-12	399.2676056338028	POOLED	LI
525031	535030	530030.5	76	415.856202090607	0	0	1	0.996005996001	1.0000000000000036e-12	386.44736842105266	POOLED	LI
530031	540030	535030.5	72	416.49750433075053	1.256102408872982e-10	0	1	0.996005996001	1.0000000000000036e-12	385.40277777777777	POOLED	LI
535031	545030	540030.5	82	422.5886103501733	7.46681864704262e-12	0	1	0.996005996001	1.0000000000000036e-12	386.4024390243902	POOLED	LI
540031	550030	545030.5	97	420.9974773667371	0	0	1	0.996005996001	1.0000000000000036e-12	399.25773195876286	POOLED	LI
545031	555030	550030.5	95	418.997489350743	0	0	1	0.996005996001	1.0000000000000036e-12	408.3157894736842	POOLED	LI
550031	560030	555030.5	63	418.997489350743	0	0	1	0.996005996001	1.0000000000000036e-12	411.06349206349205	POOLED	LI
555031	565030	560030.5	46	420.3991954219815	0	0	0.9988505747126437	0.996005996001	1.0000000000000036e-12	414.32608695652175	POOLED	LI
560031	570030	565030.5	73	420.80195660613106	0	0	1	0.996005996001	1.0000000000000036e-12	414.26027397260276	POOLED	LI
565031	575030	570030.5	109	417.99749534274605	0	0	1	0.996005996001	1.0000000000000036e-12	406.2844036697248	POOLED	LI
570031	580030	575030.5	102	417.99749534274605	0	0	1	0.996005996001	1.0000000000000036e-12	402.2843137254902	POOLED	LI
575031	585030	580030.5	67	418.4928433285302	0	0	1	0.996005996001	1.0000000000000036e-12	407.23880597014926	POOLED	LI
580031	590030	585030.5	70	417.9503167194089	0	0	1	0.996005996001	1.0000000000000036e-12	404.7857142857143	POOLED	LI
585031	595030	590030.5	79	414.786597801565	0	0	1	0.996005996001	1.0000000000000036e-12	400.1392405063291	POOLED	LI
590031	600030	595030.5	71	417.99749534274605	0	0	1	0.996005996001	1.0000000000000036e-12	404.6478873239437	POOLED	LI
595031	605030	600030.5	86	423.997459390728	0	0	1	0.996005996001	1.0000000000000036e-12	412.43023255813955	POOLED	LI
600031	610030	605030.5	114	418.97163182311925	0	0	1	0.996005996001	1.0000000000000036e-12	401.57894736842104	POOLED	LI
605031	615030	610030.5	118	415.9928071902566	0	0	1	0.996005996001	1.0000000000000036e-12	403.64406779661016	POOLED	LI
610031	620030	615030.5	107	419.99748335874006	0	0	1	0.996005996001	1.0000000000000036e-12	417.0373831775701	POOLED	LI
615031	625030	620030.5	100	422.95368957123776	5.608046444113693e-10	0	1	0.996005996001	1.0000000000000036e-12	420.54	POOLED	LI
620031	630030	625030.5	101	423.99646782416886	5.35991952258224e-11	0	1	0.996005996001	1.0000000000000036e-12	421.009900990099	POOLED	LI
625031	635030	630030.5	112	422.99746538273104	4.106790456823553e-11	0	1	0.996005996001	1.0000000000000036e-12	410.8482142857143	POOLED	LI
630031	640030	635030.5	79	422.3939695335078	0	0	1	0.996005996001	1.0000000000000036e-12	406.8101265822785	POOLED	LI
635031	645030	640030.5	41	421.7899916437567	0	0	1	0.996005996001	1.0000000000000036e-12	413.0731707317073	POOLED	LI
640031	650030	645030.5	57	418.997489350743	9.34562078837759e-11	0	1	0.996005996001	1.0000000000000036e-12	401.3333333333333	POOLED	LI
645031	655030	650030.5	63	423.4974623867295	0	0	1	0.996005996001	1.0000000000000036e-12	408.6190476190476	POOLED	LI
650031	660030	655030.5	64	420.49748036273854	0	0	1	0.996005996001	1.0000000000000036e-12	408.09375	POOLED	LI
655031	665030	660030.5	63	419.99748335874006	0	0	1	0.996005996001	1.0000000000000036e-12	403.93650793650795	POOLED	LI
660031	670030	665030.5	53	421.997471374734	7.123210160688196e-10	0	1	0.996005996001	1.0000000000000036e-12	410.1509433962264	POOLED	LI
665031	675030	670030.5	35	420.9974773667371	3.561605080344098e-10	0	1	0.996005996001	1.0000000000000036e-12	409.62857142857143	POOLED	LI
670031	680030	675030.5	11	422.4072948598935	0	0	1	0.996005996001	1.0000000000000036e-12	352.3636363636364	POOLED	LI
675031	685030	680030.5	9	85.38565553746672	1.4998308262915808e-6	0	1	0.996005996001	1.0000000000000036e-12	77.55555555555556	POOLED	LI
680031	690030	685030.5	7	90.66794613341685	1.4998308262915808e-6	0	1	0.996005996001	1.0000000000000036e-12	83.85714285714286	POOLED	LI
685031	695030	690030.5	0	NA	NA	NA	NA	NA	NA	NA	POOLED	LI
690031	700030	695030.5	0	NA	NA	NA	NA	NA	NA	NA	POOLED	LI
695031	705030	700030.5	0	NA	NA	NA	NA	NA	NA	NA	POOLED	LI
700031	710030	705030.5	16	419.99748335874006	3.7614276331979783e-10	0	1	0.996005996001	1.0000000000000036e-12	387.375	POOLED	LI
705031	715030	710030.5	62	418.9532567017201	2.617958820737738e-10	0	1	0.996005996001	1.0000000000000036e-12	404.88709677419354	POOLED	LI
710031	720030	715030.5	107	418.997489350743	1.681895522115426e-10	0	1	0.996005996001	1.0000000000000036e-12	410.50467289719626	POOLED	LI
715031	725030	720030.5	99	418.997489350743	5.906031613524465e-11	0	1	0.996005996001	1.0000000000000036e-12	409.67676767676767	POOLED	LI
720031	730030	725030.5	77	418.997489350743	4.380725164882337e-11	0	0.9974293059125964	0.9951661719873638	2.148225219291806e-12	413.1168831168831	POOLED	LI
725031	735030	730030.5	74	420.8651772156701	2.013309381686196e-11	0	1	0.996005996001	1.0000000000000036e-12	419.3243243243243	POOLED	LI
730031	740030	735030.5	66	422.99746538273104	0	0	1	0.996005996001	1.0000000000000036e-12	416.3181818181818	POOLED	LI
735031	745030	740030.5	71	422.99746538273104	0	0	1	0.996005996001	1.0000000000000036e-12	414.28169014084506	POOLED	LI
740031	750030	745030.5	77	422.99746538273104	0	0	1	0.996005996001	1.0000000000000036e-12	413.93506493506493	POOLED	LI
745031	755030	750030.5	72	423.4870976694873	0	0	1	0.996005996001	1.0000000000000036e-12	406.84722222222223	POOLED	LI
750031	760030	755030.5	75	419.9882191364774	0	0	0.9976470588235294	0.9907515071766454	2.8979502087912516e-11	405.2266666666667	POOLED	LI
755031	765030	760030.5	93	414.9880786990671	0	0	0.9976190476190476	0.9907300741107773	2.925002069439208e-11	403.741935483871	POOLED	LI
760031	770030	765030.5	92	414.9880786990671	0	0	0.9976662745354334	0.995550519482296	1.6388653632297934e-12	399.0978260869565	POOLED	LI
765031	775030	770030.5	102	416.997501334749	0	0	1	0.996005996001	1.0000000000000036e-12	399.79411764705884	POOLED	LI
770031	780030	775030.5	98	416.49750433075053	0	0	1	0.996005996001	1.0000000000000036e-12	403.3979591836735	POOLED	LI
775031	785030	780030.5	58	418.997489350743	3.561605080344098e-10	0	1	0.996005996001	1.0000000000000036e-12	410.5	POOLED	LI
780031	790030	785030.5	70	420.99747736673703	3.561605080344098e-10	0	1	0.996005996001	1.0000000000000036e-12	401.37142857142857	POOLED	LI
785031	795030	790030.5	87	418.997489350743	0	0	1	0.996005996001	1.0000000000000036e-12	396.7701149425287	POOLED	LI
790031	800030	795030.5	67	418.997489350743	0	0	1	0.996005996001	1.0000000000000036e-12	397.56716417910445	POOLED	LI
795031	805030	800030.5	70	416.49750433075053	0	0	1	0.996005996001	1.0000000000000036e-12	394.9142857142857	POOLED	LI
800031	810030	805030.5	66	419.99748335874006	0	0	1	0.996005996001	1.0000000000000036e-12	400.45454545454544	POOLED	LI
805031	815030	810030.5	34	423.997459390728	0	0	1	0.996005996001	1.0000000000000036e-12	386.70588235294116	POOLED	LI
810031	820030	815030.5	91	411.99753129476403	0	0	1	0.996005996001	1.0000000000000036e-12	380.4835164835165	POOLED	LI
815031	825030	820030.5	109	415.99750732675204	0	0	1	0.996005996001	1.0000000000000036e-12	395.22935779816515	POOLED	LI
820031	830030	825030.5	62	421.4974743707355	0	0	1	0.996005996001	1.0000000000000036e-12	416.43548387096774	POOLED	LI
825031	835030	830030.5	77	422.99746538273104	0	0	1	0.996005996001	1.0000000000000036e-12	411.45454545454544	POOLED	LI
830031	840030	835030.5	78	423.0210532558724	0	0	1	0.996005996001	1.0000000000000036e-12	411.0897435897436	POOLED	LI
835031	845030	840030.5	84	420.9974773667371	0	0	1	0.996005996001	1.0000000000000036e-12	403.2738095238095	POOLED	LI
840031	850030	845030.5	91	420.9974773667371	0	0	1	0.996005996001	1.0000000000000036e-12	408.16483516483515	POOLED	LI
845031	855030	850030.5	85	421.997471374734	0	0	1	0.996005996001	1.0000000000000036e-12	413.25882352941176	POOLED	LI
850031	860030	855030.5	94	413.9928020009141	0	0	1	0.996005996001	1.0000000000000036e-12	394.59574468085106	POOLED	LI
855031	865030	860030.5	107	415.99750732675204	0	0	1	0.996005996001	1.0000000000000036e-12	401.39252336448595	POOLED	LI
860031	870030	865030.5	118	416.99695498032804	0	0	1	0.996005996001	1.0000000000000036e-12	406.8220338983051	POOLED	LI
865031	875030	870030.5	131	418.9881913143144	0	0	1	0.996005996001	1.0000000000000036e-12	401.14503816793894	POOLED	LI
870031	880030	875030.5	100	421.997471374734	0	0	1	0.996005996001	1.0000000000000036e-12	407.78	POOLED	LI
875031	885030	880030.5	50	420.9974773667371	7.524889601235542e-11	0	1	0.996005996001	1.0000000000000036e-12	374.26	POOLED	LI
880031	890030	885030.5	29	412.997525302761	7.524889601235542e-11	0	0.9988372093023256	0.996005996001	1.0000000000000036e-12	294.3103448275862	POOLED	LI
885031	895030	890030.5	44	415.49279062488813	9.062441167550686e-11	0	1	0.996005996001	1.0000000000000036e-12	382.34090909090907	POOLED	LI
890031	900030	895030.5	66	413.9915365951956	1.69035576481044e-11	0	1	0.996005996001	1.0000000000000036e-12	387.07575757575756	POOLED	LI
895031	905030	900030.5	39	400.997597206797	8.4517788240522e-12	0	0.9975648340709931	0.995648676013979	1.4669112100072138e-12	312.61538461538464	POOLED	LI
900031	910030	905030.5	26	374.9592727676477	8.662887878076198e-8	0	0.9957982451494448	0.9888211853556477	6.725593968664234e-11	194.03846153846155	POOLED	LI
905031	915030	910030.5	55	416.49695797632955	1.7137852661806323e-7	0	0.9977219892897173	0.996005996001	1.0000000000000036e-12	344.90909090909093	POOLED	LI
910031	920030	915030.5	86	416.9930289064739	0	0	0.9964528976488425	0.9949907388920471	2.4964646616345634e-12	403.66279069767444	POOLED	LI
915031	925030	920030.5	88	418.49749234674454	0	0	0.9988452655889146	0.996005996001	1.0000000000000036e-12	407.6136363636364	POOLED	LI
920031	930030	925030.5	107	419.99748335874006	0	0	1	0.996005996001	1.0000000000000036e-12	410.7196261682243	POOLED	LI
925031	935030	930030.5	119	419.99748335874006	0	0	1	0.996005996001	1.0000000000000036e-12	410.10084033613447	POOLED	LI
930031	940030	935030.5	94	423.4974623867295	0	0	1	0.996005996001	1.0000000000000036e-12	414.8510638297872	POOLED	LI
935031	945030	940030.5	97	423.997459390728	0	0	1	0.996005996001	1.0000000000000036e-12	416.35051546391753	POOLED	LI
940031	950030	945030.5	99	422.99746538273104	0	0	1	0.996005996001	1.0000000000000036e-12	414.27272727272725	POOLED	LI
945031	955030	950030.5	71	423.997459390728	0	0	1	0.996005996001	1.0000000000000036e-12	409.5492957746479	POOLED	LI
950031	960030	955030.5	73	421.997471374734	0	0	1	0.996005996001	1.0000000000000036e-12	396.8904109589041	POOLED	LI
955031	965030	960030.5	66	420.49748036273854	3.1270764320012036e-11	0	1	0.996005996001	1.0000000000000036e-12	381.7121212121212	POOLED	LI
960031	970030	965030.5	62	416.997501334749	6.254152864002407e-11	0	1	0.996005996001	1.0000000000000036e-12	367.80645161290323	POOLED	LI
965031	975030	970030.5	57	415.967703884821	1.3747662742440064e-9	0	1	0.996005996001	1.0000000000000036e-12	351.1929824561403	POOLED	LI
970031	980030	975030.5	53	423.4755744809829	NA	0	1	0.996005996001	1.0000000000000036e-12	383.9622641509434	POOLED	LI
975031	985030	980030.5	81	423.997459390728	0	0	1	0.996005996001	1.0000000000000036e-12	408.0740740740741	POOLED	LI
980031	990030	985030.5	65	420.9974773667371	0	0	1	0.996005996001	1.0000000000000036e-12	401.55384615384617	POOLED	LI
985031	995030	990030.5	67	420.9974773667371	0	0	1	0.996005996001	1.0000000000000036e-12	406.05970149253733	POOLED	LI
990031	1000030	995030.5	78	420.9974773667371	4.2856755618642594e-10	0	1	0.996005996001	1.0000000000000036e-12	403	POOLED	LI
995031	1005030	1000030.5	84	417.4829504629332	0	0	0.9976658931703544	0.996005996001	1.0000000000000036e-12	399.3809523809524	POOLED	LI
1000031	1010030	1005030.5	112	419.9833438859401	0	0	1	0.996005996001	1.0000000000000036e-12	408.70535714285717	POOLED	LI
